tof(microsec),V,E
4625,0.44922,0.06871
4635,0.43019,0.06734
4645,0.42824,0.0682
4655,0.42287,0.0704
4665,0.43068,0.07117
4675,0.43165,0.07117
4685,0.41812,0.06797
4695,0.42653,0.0678
4705,0.42177,0.06934
4715,0.41519,0.06748
4725,0.4108,0.0656
4735,0.41116,0.06488
4745,0.41068,0.06271
4755,0.4147,0.06282
4765,0.40702,0.06445
4775,0.41348,0.06297
4785,0.40933,0.0652
4795,0.40336,0.06391
4805,0.40055,0.06419
4815,0.39165,0.06374
4825,0.41531,0.06071
4835,0.40458,0.06439
4845,0.40006,0.06645
4855,0.40385,0.06388
4865,0.40189,0.06182
4875,0.39701,0.06122
4885,0.38091,0.05971
4895,0.39226,0.06222
4905,0.39299,0.05996
4915,0.38506,0.06194
4925,0.3875,0.05728
4935,0.3814,0.05796
4945,0.38592,0.06148
4955,0.38055,0.05762
4965,0.36579,0.05659
4975,0.37848,0.05814
4985,0.37896,0.06054
4995,0.3686,0.05816
5005,0.37055,0.05842
5015,0.38299,0.05711
5025,0.37018,0.05568
5035,0.36969,0.05854
5045,0.37762,0.05765
5055,0.37909,0.05605
5065,0.36372,0.05639
5075,0.37189,0.05828
5085,0.36457,0.05333
5095,0.35896,0.05616
5105,0.36335,0.05636
5115,0.34981,0.05605
5125,0.36225,0.05725
5135,0.35567,0.05645
5145,0.3614,0.05691
5155,0.36164,0.05368
5165,0.35213,0.0521
5175,0.34493,0.05342
5185,0.35457,0.05376
5195,0.34518,0.05533
5205,0.35189,0.05345
5215,0.35018,0.05239
5225,0.35433,0.05445
5235,0.34725,0.05253
5245,0.3464,0.05379
5255,0.33139,0.05356
5265,0.35079,0.05085
5275,0.327,0.0525
5285,0.33749,0.05288
5295,0.34079,0.05319
5305,0.33798,0.05248
5315,0.32871,0.05276
5325,0.32164,0.05082
5335,0.33603,0.05351
5345,0.33274,0.05125
5355,0.32969,0.05142
5365,0.33347,0.05419
5375,0.31493,0.04976
5385,0.32615,0.04702
5395,0.31407,0.04899
5405,0.31164,0.04968
5415,0.32091,0.04925
5425,0.31773,0.04896
5435,0.32749,0.04762
5445,0.30249,0.0481
5455,0.32091,0.04773
5465,0.31603,0.04956
5475,0.31481,0.04819
5485,0.31651,0.04699
5495,0.31639,0.0473
5505,0.32103,0.04622
5515,0.30505,0.04633
5525,0.30078,0.04933
5535,0.30127,0.04436
5545,0.30395,0.04607
5555,0.30505,0.04567
5565,0.2931,0.04542
5575,0.30505,0.04447
5585,0.30773,0.04722
5595,0.29041,0.0481
5605,0.29053,0.04356
5615,0.30956,0.04304
5625,0.30249,0.04553
5635,0.30151,0.04207
5645,0.29358,0.04339
5655,0.30285,0.04436
5665,0.28846,0.04113
5675,0.28578,0.04176
5685,0.287,0.0443
5695,0.28907,0.04007
5705,0.2887,0.04302
5715,0.292,0.04147
5725,0.28602,0.04182
5735,0.28273,0.04159
5745,0.27773,0.04224
5755,0.27456,0.04247
5765,0.28627,0.04136
5775,0.27822,0.0417
5785,0.27895,0.04081
5795,0.26614,0.04016
5805,0.27138,0.04139
5815,0.26895,0.04219
5825,0.28126,0.04001
5835,0.27346,0.04122
5845,0.26663,0.04036
5855,0.26651,0.04076
5865,0.26285,0.0393
5875,0.27468,0.03859
5885,0.26321,0.03924
5895,0.25321,0.0403
5905,0.26699,0.0399
5915,0.26016,0.03879
5925,0.26712,0.03736
5935,0.26016,0.03759
5945,0.2576,0.03956
5955,0.24943,0.03884
5965,0.26626,0.03747
5975,0.25211,0.03993
5985,0.25785,0.03564
5995,0.25541,0.03827
6005,0.24736,0.03684
6015,0.25419,0.03736
6025,0.25419,0.03764
6035,0.26102,0.03933
6045,0.25236,0.03924
6055,0.23992,0.03698
6065,0.24565,0.0381
6075,0.24199,0.03779
6085,0.24321,0.03784
6095,0.24894,0.03684
6105,0.24882,0.03724
6115,0.24675,0.03687
6125,0.24504,0.03724
6135,0.24492,0.0373
6145,0.2387,0.03633
6155,0.24858,0.03496
6165,0.23821,0.03596
6175,0.23796,0.03427
6185,0.23687,0.03473
6195,0.24504,0.03481
6205,0.23455,0.03496
6215,0.23528,0.03553
6225,0.23479,0.03461
6235,0.2365,0.03556
6245,0.24309,0.03493
6255,0.23004,0.03424
6265,0.23443,0.03441
6275,0.23028,0.0335
6285,0.22467,0.03338
6295,0.23187,0.03418
6305,0.23333,0.03436
6315,0.23553,0.0335
6325,0.22077,0.0339
6335,0.22711,0.03616
6345,0.23138,0.03481
6355,0.23553,0.03493
6365,0.22284,0.03444
6375,0.22016,0.03367
6385,0.2276,0.03301
6395,0.22918,0.03473
6405,0.24138,0.03576
6415,0.2193,0.03527
6425,0.22272,0.03533
6435,0.21662,0.03298
6445,0.22333,0.03401
6455,0.21101,0.03315
6465,0.22284,0.03161
6475,0.21028,0.03353
6485,0.21625,0.03095
6495,0.21174,0.03173
6505,0.21918,0.03184
6515,0.21503,0.0315
6525,0.2126,0.0311
6535,0.21467,0.0305
6545,0.21784,0.0323
6555,0.21064,0.03147
6565,0.2126,0.02941
6575,0.20686,0.0305
6585,0.21113,0.03161
6595,0.20089,0.03033
6605,0.20698,0.03078
6615,0.22345,0.02978
6625,0.20528,0.02964
6635,0.19735,0.03064
6645,0.20125,0.03033
6655,0.20198,0.02998
6665,0.21406,0.02955
6675,0.20491,0.02918
6685,0.19625,0.02915
6695,0.20723,0.0281
6705,0.19552,0.02935
6715,0.21381,0.03013
6725,0.19918,0.02964
6735,0.2065,0.02855
6745,0.20113,0.02967
6755,0.20284,0.0275
6765,0.19698,0.03024
6775,0.19625,0.02821
6785,0.18662,0.0283
6795,0.19271,0.02904
6805,0.20784,0.03107
6815,0.19552,0.02901
6825,0.2015,0.02961
6835,0.20113,0.02912
6845,0.19613,0.03101
6855,0.19052,0.02927
6865,0.19637,0.0293
6875,0.19113,0.02824
6885,0.18283,0.02855
6895,0.19906,0.0283
6905,0.1904,0.02692
6915,0.19064,0.02852
6925,0.19393,0.0273
6935,0.1943,0.02675
6945,0.18869,0.02641
6955,0.18601,0.02667
6965,0.19223,0.02704
6975,0.18808,0.02744
6985,0.18918,0.02664
6995,0.18723,0.02532
7005,0.19003,0.02698
7015,0.18686,0.02715
7025,0.18601,0.02652
